tenure1,tenure2,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility
14,4,100,2.72004745,0,6.88019,1.774940853,865.93,10911.78,2465523749,42300455.75
14,5,100,2.85646505,0,7.236062,1.694765512,867.08,11404.89,2589578296,40547981.27
14,6,100,2.86239622,0.237248,6.405694,1.643066529,867.13,12135.77,2767444070,38394693.12
14,7,100,3.24792411,0.237248,6.998814,1.658489813,870.38,12615.2,2882672418,37160522.98
14,8,100,3.36892055,0.237248,6.761566,1.728753807,871.4,13200.27,3020410476,35054418.73
14,9,100,3.65124558,0,7.710558,1.894954006,873.78,13606.37,3116586400,33745836.81
14,10,100,3.74614469,0.237248,8.066429,1.8559685,874.58,14356.38,3282705631,32090235.43
14,11,100,3.87663108,0.474496,8.066429,1.76180918,875.68,14653.94,3346483982,31635510.02
14,12,100,4.31909849,0.711744,8.185053,1.81491848,879.41,15402.51,3496209713,29470390.05
14,13,100,4.68208783,1.660735,9.845789,1.773194365,882.47,15921.93,3600745352,28325090.79
14,14,100,4.91103206,0.118624,9.845789,2.063256629,884.4,16601.99,3730711883,27215458.93
14,15,100,4.74733097,0.237248,8.540925,1.805408235,883.02,16944.63,3795732203,26482062.7
15,1,100,2.89679718,0,9.252669,1.947379822,867.42,7919.9,1687137123,52061974.47
15,2,100,2.44839858,0,6.524318,1.739125154,863.64,9054.19,1985072373,48488611
15,3,100,2.74139974,0.237248,7.236062,1.7736303,866.11,10095.07,2249799028,44622557.75
15,4,100,2.68327402,0.237248,7.117438,1.637791936,865.62,10947.01,2461598465,42270296.25
15,5,100,2.85409259,0,6.761566,1.65411661,867.06,11559.68,2613868487,40008875.68
15,6,100,3.07473312,0,6.642942,1.577754967,868.92,11852.43,2691997579,38576829.95
15,7,100,3.28707004,0.237248,7.591934,1.709014848,870.71,12361.26,2812712591,37316605.57
15,8,100,3.11862397,0.355872,7.710558,1.747423421,869.29,12968.9,2956923678,35112559.45
15,9,100,3.37366548,0,7.591934,1.790017267,871.44,13659.14,3115407443,34322054.26
15,10,100,3.66666665,0.355872,7.47331,1.578602984,873.91,14064.68,3206755584,32613131.19
15,11,100,3.83155401,0.237248,10.201661,2.016607393,875.3,14906.25,3385405831,30880369.73
15,12,100,4.07829182,0.474496,8.066429,1.721154855,877.38,15369.99,3484088232,30073218.29
15,13,100,4.37010675,1.067616,8.778173,1.741754937,879.84,15897.86,3588688499,28992541.5
15,14,100,4.58244366,0.355872,8.896797,1.901399359,881.63,16599.3,3731100520,27296624.75
15,15,100,4.66192178,0.711744,9.845789,1.904972638,882.3,17003.3,3789615600,26335148.25
16,1,100,2.68683276,0,7.354686,1.825482316,865.65,7985.61,1693833831,52371000.21
16,2,100,2.41755638,0,6.88019,1.899239564,863.38,9232.76,2012299671,48097473.24
16,3,100,2.6417556,0,5.812574,1.670706786,865.27,10029.84,2226227437,45119406.52
16,4,100,2.45432981,0,6.998814,1.726507334,863.69,10847.27,2427508053,42602697.54
16,5,100,2.63107949,0,7.947805,1.635412238,865.18,11257.82,2536172779,40930986.23
16,6,100,2.80782916,0.118624,6.168446,1.643793001,866.67,12019,2720684913,38146748.78
16,7,100,3.16132858,0.237248,7.710558,1.834802102,869.65,12697.33,2879981743,37272918.01
