tenure1,tenure2,runs,mean_gap,min_gap,median_gap,std_gap,mean_iterations,mean_candidates,mean_feasibility,file
16,19,100,4.58658539,1.097561,4.634146,1.611249918,43076.5,2106598673,19732101.65,E100_1000.1_r50_lk_ts_t16_t19_ite10.res
16,1,100,3.11463412,1.097561,3.170732,0.934464308,13424.53,866796259.1,50977066.46,E100_1000.1_r50_lk_ts_t16_t1_ite10.res
16,20,100,4.46951221,1.097561,4.4512195,1.597718924,44805.64,2131596476,19126236.68,E100_1000.1_r50_lk_ts_t16_t20_ite10.res
16,21,100,4.68902443,1.097561,4.756098,1.746409081,47182.76,2155650063,18526526,E100_1000.1_r50_lk_ts_t16_t21_ite10.res
16,22,100,4.87195124,1.097561,4.756098,1.90149557,49518.63,2164685853,17914785.62,E100_1000.1_r50_lk_ts_t16_t22_ite10.res
16,23,100,4.87439027,1.097561,4.756098,1.896201317,51859.07,2207374273,17543260.07,E100_1000.1_r50_lk_ts_t16_t23_ite10.res
16,24,100,4.8378049,1.097561,4.756098,1.94675324,52585.02,2190511650,17219505.05,E100_1000.1_r50_lk_ts_t16_t24_ite10.res
16,25,100,4.95000002,1.097561,4.756098,1.95775996,55359.97,2228933050,16753934.91,E100_1000.1_r50_lk_ts_t16_t25_ite10.res
16,26,100,4.8292683,1.097561,4.756098,1.826761824,57400.17,2248965626,16644553.22,E100_1000.1_r50_lk_ts_t16_t26_ite10.res
16,27,100,5.00000002,1.097561,4.8170735,2.055085392,58532.42,2256500815,16424833.78,E100_1000.1_r50_lk_ts_t16_t27_ite10.res
16,28,100,4.9963415,1.097561,4.8170735,2.024927072,60096.95,2270102992,16185844.15,E100_1000.1_r50_lk_ts_t16_t28_ite10.res
16,29,100,5.00121954,1.097561,4.8170735,2.017050893,61175.01,2266073436,16074838.71,E100_1000.1_r50_lk_ts_t16_t29_ite10.res
16,2,100,2.77804879,0.487805,2.804878,0.9667278238,15909.2,1037599662,43390269.99,E100_1000.1_r50_lk_ts_t16_t2_ite10.res
16,30,100,5.11341467,1.097561,4.9390245,2.114123519,62131.82,2252781810,15781025.41,E100_1000.1_r50_lk_ts_t16_t30_ite10.res
16,3,100,2.62926829,0.243902,2.560976,0.9424520673,17778.34,1160228601,38293418.15,E100_1000.1_r50_lk_ts_t16_t3_ite10.res
16,4,100,2.46341462,0.121951,2.439024,1.008171809,19058.11,1237391062,34772473.44,E100_1000.1_r50_lk_ts_t16_t4_ite10.res
16,5,100,2.61829269,0.487805,2.682927,1.003310654,20931.4,1347106618,32475100.32,E100_1000.1_r50_lk_ts_t16_t5_ite10.res
16,6,100,2.6560976,0.365854,2.7439025,0.9304624719,22524.23,1438411570,30818321.31,E100_1000.1_r50_lk_ts_t16_t6_ite10.res
16,7,100,2.78414633,0,2.926829,1.062305737,24101.04,1515595868,28937305.95,E100_1000.1_r50_lk_ts_t16_t7_ite10.res
16,8,100,2.93780491,0.609756,3.04878,1.120935179,25475.69,1582311838,27975790.15,E100_1000.1_r50_lk_ts_t16_t8_ite10.res
16,9,100,3.01829271,0.853659,2.9878045,1.122311936,26503.92,1621102057,26977073.37,E100_1000.1_r50_lk_ts_t16_t9_ite10.res
17,10,100,3.30487807,0.97561,3.292683,1.322061697,28323.75,1698181001,25711107.86,E100_1000.1_r50_lk_ts_t17_t10_ite10.res
17,11,100,3.30243899,0.731707,3.2317075,1.269329829,30324.82,1786069484,24936054.99,E100_1000.1_r50_lk_ts_t17_t11_ite10.res
17,12,100,3.57804881,0.97561,3.414634,1.234962476,31452.18,1815203558,23920834.69,E100_1000.1_r50_lk_ts_t17_t12_ite10.res
17,13,100,3.61707318,1.097561,3.658537,1.279295881,33198.83,1865525610,23018726.41,E100_1000.1_r50_lk_ts_t17_t13_ite10.res
17,14,100,3.78414639,1.097561,3.780488,1.358041627,34313.16,1896265524,22585867.4,E100_1000.1_r50_lk_ts_t17_t14_ite10.res
17,15,100,3.94634149,0.609756,3.9634145,1.362466333,36463.56,1968276047,21892755.93,E100_1000.1_r50_lk_ts_t17_t15_ite10.res
17,16,100,4.10243903,1.097561,4.02439,1.444353175,37206.65,1961608662,21377567.85,E100_1000.1_r50_lk_ts_t17_t16_ite10.res
17,17,100,4.23414637,1.097561,4.268293,1.405189734,39602.05,2031202846,20510654.69,E100_1000.1_r50_lk_ts_t17_t17_ite10.res
17,18,52,4.289399654,1.219512,4.4512195,1.44208124,40723.76923,2051060531,20350160.08,E100_1000.1_r50_lk_ts_t17_t18_ite10.res
17,1,100,3.31951218,1.097561,3.292683,0.8989297859,13421.32,863659842.9,51130841.83,E100_1000.1_r50_lk_ts_t17_t1_ite10.res
17,2,100,2.62439023,0,2.682927,0.9968553284,15921.34,1034560070,42922177.1,E100_1000.1_r50_lk_ts_t17_t2_ite10.res
17,3,100,2.53170733,0.121951,2.6219515,0.9229310528,17735.05,1152996812,38323607.53,E100_1000.1_r50_lk_ts_t17_t3_ite10.res
17,4,100,2.66097561,0.853659,2.804878,0.8119689796,20149.06,1302043835,35452424.92,E100_1000.1_r50_lk_ts_t17_t4_ite10.res
17,5,100,2.73048776,0.243902,2.926829,1.027490752,21023.91,1350515166,32564625.55,E100_1000.1_r50_lk_ts_t17_t5_ite10.res
17,6,100,2.69756096,0,2.8658535,0.9480081667,22234.81,1413665487,30371642.67,E100_1000.1_r50_lk_ts_t17_t6_ite10.res
17,7,100,2.82317074,0.609756,2.926829,1.026244338,23802.97,1495813001,29222433.07,E100_1000.1_r50_lk_ts_t17_t7_ite10.res
17,8,100,2.96341463,0.121951,3.04878,1.158941721,25198.34,1562455210,27827849.34,E100_1000.1_r50_lk_ts_t17_t8_ite10.res
17,9,100,2.89634146,0.731707,2.8658535,1.166032956,26455.58,1614328898,26972740.3,E100_1000.1_r50_lk_ts_t17_t9_ite10.res
19,10,100,3.28536589,0.97561,3.292683,1.130905167,28013.66,1666242760,25524256.37,E100_1000.1_r50_lk_ts_t19_t10_ite10.res
19,11,100,3.63048782,1.097561,3.597561,1.23016474,29656.14,1735444689,24681601.29,E100_1000.1_r50_lk_ts_t19_t11_ite10.res
19,12,100,3.56463417,0.97561,3.597561,1.26603252,31001.57,1774635107,23866314.14,E100_1000.1_r50_lk_ts_t19_t12_ite10.res
19,13,100,3.85121952,1.097561,3.780488,1.397589551,32985.51,1847818299,22894779.89,E100_1000.1_r50_lk_ts_t19_t13_ite10.res
19,14,100,3.91585367,1.097561,3.902439,1.31321409,34305.46,1876840492,22419663.28,E100_1000.1_r50_lk_ts_t19_t14_ite10.res
19,15,100,4.18902439,0.609756,4.3292685,1.467962788,36383.35,1938579102,21610711.49,E100_1000.1_r50_lk_ts_t19_t15_ite10.res
19,16,100,4.20365854,1.097561,4.146341,1.432859848,37470.9,1960137100,21085792.96,E100_1000.1_r50_lk_ts_t19_t16_ite10.res
19,17,100,4.30243904,1.097561,4.390244,1.430302048,39412.87,2010197484,20581614.7,E100_1000.1_r50_lk_ts_t19_t17_ite10.res
19,18,100,4.45609758,0,4.4512195,1.643240254,41341.48,2060314614,20100553.59,E100_1000.1_r50_lk_ts_t19_t18_ite10.res
19,19,100,4.52317077,1.097561,4.512195,1.626486909,42565.27,2067596925,19514721.66,E100_1000.1_r50_lk_ts_t19_t19_ite10.res
19,1,100,3.24878048,0.609756,3.3536585,0.9761515894,13687.39,873639429.5,50544720.1,E100_1000.1_r50_lk_ts_t19_t1_ite10.res
19,20,100,4.63902442,1.097561,4.756098,1.636966058,43796.46,2085445222,19214202.97,E100_1000.1_r50_lk_ts_t19_t20_ite10.res
19,21,100,4.64512195,1.097561,4.756098,1.639458012,45805.67,2132706753,18692944.82,E100_1000.1_r50_lk_ts_t19_t21_ite10.res
19,22,100,4.80121953,1.097561,4.756098,1.811290063,47064.25,2148326807,18360104.08,E100_1000.1_r50_lk_ts_t19_t22_ite10.res
19,23,100,4.90000001,1.097561,4.756098,1.956630511,48663.76,2165792861,18041332.57,E100_1000.1_r50_lk_ts_t19_t23_ite10.res
19,24,100,4.96951223,1.097561,4.8170735,1.96436926,49929.57,2180412362,17693447.61,E100_1000.1_r50_lk_ts_t19_t24_ite10.res
19,25,100,4.93536589,1.097561,4.8170735,1.913001468,51441.69,2208810974,17520835.99,E100_1000.1_r50_lk_ts_t19_t25_ite10.res
19,26,100,4.88780491,1.097561,4.756098,1.946029681,53013.92,2228061682,17118631.81,E100_1000.1_r50_lk_ts_t19_t26_ite10.res
19,27,100,5.06951223,1.097561,4.878049,2.085146855,54404.02,2257076941,16933293.72,E100_1000.1_r50_lk_ts_t19_t27_ite10.res
19,28,100,4.93780491,1.097561,4.8170735,1.999472273,55386.26,2252635553,16772004.34,E100_1000.1_r50_lk_ts_t19_t28_ite10.res
19,29,100,5.0865854,1.097561,4.9390245,2.085509929,55864.02,2239042430,16603900.49,E100_1000.1_r50_lk_ts_t19_t29_ite10.res
19,2,100,2.7585366,0.487805,2.804878,0.7820759705,15885.61,1025995019,42936980.86,E100_1000.1_r50_lk_ts_t19_t2_ite10.res
19,30,100,5.08536589,1.097561,4.9390245,2.085020415,57510.39,2263925105,16262373.92,E100_1000.1_r50_lk_ts_t19_t30_ite10.res
19,3,100,2.60365853,0.121951,2.682927,0.838903023,17649.69,1140517219,38430967.99,E100_1000.1_r50_lk_ts_t19_t3_ite10.res
19,4,100,2.6060976,0.243902,2.560976,0.9810844938,19976.64,1281238739,34449106.84,E100_1000.1_r50_lk_ts_t19_t4_ite10.res
19,5,100,2.65609759,0.243902,2.8658535,0.995965903,20870.4,1333222474,32382906,E100_1000.1_r50_lk_ts_t19_t5_ite10.res
19,6,100,2.73536585,0.487805,2.7439025,0.9721011429,22598.09,1426785220,30611395.38,E100_1000.1_r50_lk_ts_t19_t6_ite10.res
19,7,100,3.0512195,0.731707,3.04878,1.010103998,23226.51,1450853102,29036478.71,E100_1000.1_r50_lk_ts_t19_t7_ite10.res
19,8,100,2.83780489,0.853659,2.804878,1.047179988,25719.25,1586331295,27750407.59,E100_1000.1_r50_lk_ts_t19_t8_ite10.res
19,9,100,3.01097562,0.609756,3.04878,1.132481504,26285.48,1592001133,26656563.85,E100_1000.1_r50_lk_ts_t19_t9_ite10.res
1,10,100,4.81097565,1.097561,4.695122,1.938581208,29607.32,1901933894,27337600.28,E100_1000.1_r50_lk_ts_t1_t10_ite10.res
1,11,100,4.89268297,1.097561,4.756098,1.991928777,31400.98,1974482624,26177584.64,E100_1000.1_r50_lk_ts_t1_t11_ite10.res
1,12,100,4.89878052,1.097561,4.878049,1.968164853,34515.44,2077559577,24930570.93,E100_1000.1_r50_lk_ts_t1_t12_ite10.res
1,13,100,4.86585368,1.097561,4.8170735,1.927945412,36423.3,2106095969,23681601.99,E100_1000.1_r50_lk_ts_t1_t13_ite10.res
1,14,100,4.89146345,1.097561,4.878049,1.972270015,39347.03,2181027469,22405299.12,E100_1000.1_r50_lk_ts_t1_t14_ite10.res
